name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-2666.01,170889511,139.480865,-3.387525,6.9887,22040.0,1.445,2459259.141383,APC,2022-04-19 12:02:07,106024.32439101012,"depth 22040 ppm, duration 1.45 h, Tmag 6.99 → score 106024",1
TOI-2423.01,197807043,53.467245,-57.621295,9.5137,12640.0,4.208,2459097.062,PC,2021-10-29 12:59:15,32437.31807981625,"depth 12640 ppm, duration 4.21 h, Tmag 9.51 → score 32437",2
TOI-7176.01,44161614,345.349833,32.949691,10.4361,15884.0,4.281,2459835.668518,PC,2025-07-26 12:03:59,26885.151760280223,"depth 15884 ppm, duration 4.28 h, Tmag 10.44 → score 26885",3
TOI-429.01,259592689,72.977308,-53.829626,10.1672,7525.67,9.528,2458439.648711,PC,2024-04-23 10:09:23,21508.297990793395,"depth 7526 ppm, duration 9.53 h, Tmag 10.17 → score 21508",4
TOI-6670.01,126797048,137.046678,-50.613758,8.8855,2389.5186523,22.9026501,2459284.365229,PC,2023-09-24 12:03:22,19105.275030977806,"depth 2390 ppm, duration 22.90 h, Tmag 8.89 → score 19105",5
TOI-1896.01,174302697,352.17861,47.349521,8.88374,2816.5224185,16.1046282,2458743.727014,PC,2021-10-29 12:59:15,18899.075668916168,"depth 2817 ppm, duration 16.10 h, Tmag 8.88 → score 18899",6
TOI-5523.01,443616612,169.117028,-3.975441,13.7701,28182.0217132,13.5723661,2459533.35413,PC,2022-04-21 12:03:43,18292.78912890373,"depth 28182 ppm, duration 13.57 h, Tmag 13.77 → score 18293",7
TOI-6664.01,147561732,143.137378,69.729484,8.03278,1602.3801725,18.1537085,2459391.966673,PC,2026-07-18 12:04:55,16892.43440661265,"depth 1602 ppm, duration 18.15 h, Tmag 8.03 → score 16892",8
TOI-3500.02,443666343,186.816884,-29.832996,10.8298,8094.9889377,7.9079384,2460056.706283,PC,2025-07-22 12:04:25,15534.164449809883,"depth 8095 ppm, duration 7.91 h, Tmag 10.83 → score 15534",9
TOI-2300.03,280031353,297.416187,68.883354,11.8231,8209.2875404,17.0708835,2459398.739519,PC,2023-03-03 12:03:04,14649.185110670156,"depth 8209 ppm, duration 17.07 h, Tmag 11.82 → score 14649",10
TOI-2530.01,52059926,16.772687,-68.368103,12.7296,21624.0,4.646,2458350.181,PC,2021-10-29 12:59:15,13260.369792388277,"depth 21624 ppm, duration 4.65 h, Tmag 12.73 → score 13260",11
TOI-4319.01,157115010,100.971875,-43.892984,10.82,6743.4455261,7.7272055,2459231.757702,PC,2021-10-29 12:59:15,12849.702849636758,"depth 6743 ppm, duration 7.73 h, Tmag 10.82 → score 12850",12
TOI-1812.01,207425167,242.747885,58.294553,11.6463,9219.8978429,7.3027567,2458924.593048,PC,2022-05-31 12:02:16,11673.726791485613,"depth 9220 ppm, duration 7.30 h, Tmag 11.65 → score 11674",13
TOI-5812.02,388909695,327.570011,4.194573,10.4106,5553.0,5.935,2460536.083418,PC,2026-07-17 12:03:25,11197.42172251834,"depth 5553 ppm, duration 5.93 h, Tmag 10.41 → score 11197",14
TOI-2318.01,88840705,262.589332,40.369465,8.6512,2749.2099367,4.6833042,2459026.647613,APC,2022-07-19 12:02:35,11072.4592062438,"depth 2749 ppm, duration 4.68 h, Tmag 8.65 → score 11072",15
TOI-790.03,308994098,123.39778,-64.090901,8.9914,1628.2500301,17.3550472,2460203.621473,PC,2024-03-15 12:03:14,10793.29368735084,"depth 1628 ppm, duration 17.36 h, Tmag 8.99 → score 10793",16
TOI-2534.01,219332978,338.644613,-57.570425,10.8209,5180.0,8.475,2458346.575296,PC,2021-10-29 12:59:15,10332.837825919194,"depth 5180 ppm, duration 8.47 h, Tmag 10.82 → score 10333",17
TOI-3724.01,143642240,80.425878,36.274635,11.7012,8780.0,6.092,2458838.121011,PC,2025-08-27 12:03:56,9899.983328242219,"depth 8780 ppm, duration 6.09 h, Tmag 11.70 → score 9900",18
TOI-5893.01,321790238,317.926468,8.980673,11.4879,7997.0,5.718,2459817.171119,PC,2024-08-22 10:08:01,9637.606084759846,"depth 7997 ppm, duration 5.72 h, Tmag 11.49 → score 9638",19
TOI-2003.01,58463434,201.527127,-27.41256,9.6569,3860.0,3.529,2458579.36532,PC,2025-07-22 12:04:25,8492.45264469476,"depth 3860 ppm, duration 3.53 h, Tmag 9.66 → score 8492",20
