name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-224.01,70797900,1.977969,-29.979603,11.1427,101204.8459939,1.9189212,2458365.843684,APC,2026-02-02 16:00:02,82830.42291643811,"depth 101205 ppm, duration 1.92 h, Tmag 11.14 → score 82830",1
TOI-588.01,130415266,104.74986,-47.023366,7.3123,7758.0,6.186,2459981.725943,PC,2024-01-29 16:02:02,66526.50881565086,"depth 7758 ppm, duration 6.19 h, Tmag 7.31 → score 66527",2
TOI-1986.01,468997317,144.023758,-51.744648,8.135,12479.7176832,4.8967771,2459256.974533,APC,2021-10-29 12:59:15,65186.83998530845,"depth 12480 ppm, duration 4.90 h, Tmag 8.13 → score 65187",3
TOI-573.01,296780789,142.346908,-14.511711,12.519,156034.718417,1.7245219,2458524.632416,APC,2024-09-19 10:08:01,64232.614319973145,"depth 156035 ppm, duration 1.72 h, Tmag 12.52 → score 64233",4
TOI-1356.01,277566483,311.19458,54.502161,8.9468,8802.0,17.486,2459849.242233,PC,2023-05-19 10:10:02,59781.47155665703,"depth 8802 ppm, duration 17.49 h, Tmag 8.95 → score 59781",5
TOI-850.01,423670610,9.765924,-17.221806,11.3488,58957.4,3.283,2458384.40921,APC,2021-10-29 12:59:15,57400.247421139924,"depth 58957 ppm, duration 3.28 h, Tmag 11.35 → score 57400",6
TOI-6806.01,144327080,355.545706,-47.913029,11.3272,48641.0,3.914,2460202.860746,APC,2024-08-22 10:08:01,52224.333436580484,"depth 48641 ppm, duration 3.91 h, Tmag 11.33 → score 52224",7
TOI-671.01,151681127,166.888906,-40.206918,9.1379,16111.0,4.694,2460021.290156,APC,2023-05-11 16:02:02,51917.53212252504,"depth 16111 ppm, duration 4.69 h, Tmag 9.14 → score 51918",8
TOI-890.01,333607525,100.36319,-12.285043,10.936,41820.0,3.51,2459226.741148,APC,2022-07-11 16:02:02,50914.04319940544,"depth 41820 ppm, duration 3.51 h, Tmag 10.94 → score 50914",9
TOI-447.01,14091633,77.260156,-36.464478,8.8695,17914.4576673,2.542935,2459176.31925,APC,2021-10-29 12:59:15,48080.75678156514,"depth 17914 ppm, duration 2.54 h, Tmag 8.87 → score 48081",10
TOI-352.01,47423120,342.067547,-24.838685,11.014,44708.7,2.783,2458356.83006,APC,2021-12-06 16:02:02,46757.21605619643,"depth 44709 ppm, duration 2.78 h, Tmag 11.01 → score 46757",11
TOI-1433.01,13684720,305.538257,36.064784,12.4647,107230.4220068,1.710953,2458695.010937,APC,2026-09-18 16:00:01,45081.36474777356,"depth 107230 ppm, duration 1.71 h, Tmag 12.46 → score 45081",12
TOI-4543.01,435336785,55.140851,13.552772,6.7943,4820.0,4.551,2460212.247805,PC,2024-11-15 16:02:02,45002.89536306584,"depth 4820 ppm, duration 4.55 h, Tmag 6.79 → score 45003",13
TOI-1059.01,380783252,269.714503,-60.922727,9.7825,25387.7438512,2.2611055,2460852.860658,PC,2026-08-13 16:00:02,42197.28616390789,"depth 25388 ppm, duration 2.26 h, Tmag 9.78 → score 42197",14
TOI-585.01,190990336,134.373008,-39.778423,8.9544,11569.0,4.835,2460009.617078,APC,2023-04-12 16:02:02,41173.146758358154,"depth 11569 ppm, duration 4.83 h, Tmag 8.95 → score 41173",15
TOI-1656.01,267694283,63.230018,53.68705,8.54941,6669.0,9.386,2459935.313412,APC,2023-02-03 16:02:02,39849.143597208255,"depth 6669 ppm, duration 9.39 h, Tmag 8.55 → score 39849",16
TOI-340.01,80439101,11.747329,-44.369951,12.6435,53558.5635109,5.9888165,2459088.695472,PC,2024-03-14 10:08:02,38797.11422683135,"depth 53559 ppm, duration 5.99 h, Tmag 12.64 → score 38797",17
TOI-1976.01,329888006,212.846611,-50.069977,8.8681,7400.0,8.903,2459360.021406,APC,2021-10-29 12:59:15,37186.03779958867,"depth 7400 ppm, duration 8.90 h, Tmag 8.87 → score 37186",18
TOI-316.01,8988289,354.759157,-9.882022,13.1186,95718.1,2.561,2458365.98759,APC,2022-07-20 12:03:42,36431.651470094075,"depth 95718 ppm, duration 2.56 h, Tmag 13.12 → score 36432",19
TOI-121.01,207081058,331.867517,-41.815511,9.9358,15041.0,5.504,2459074.32911,APC,2023-11-15 16:02:02,36345.94155290111,"depth 15041 ppm, duration 5.50 h, Tmag 9.94 → score 36346",20
TOI-5575.01,160162137,241.248539,85.204724,14.0127,145640.0,2.347,2459747.65944,PC,2024-08-22 10:08:01,35155.81861336139,"depth 145640 ppm, duration 2.35 h, Tmag 14.01 → score 35156",21
TOI-911.01,389070884,262.335243,-38.645969,7.9771,9234.7778037,2.1129476,2460842.577739,APC,2026-08-31 16:00:01,34076.17295650235,"depth 9235 ppm, duration 2.11 h, Tmag 7.98 → score 34076",22
TOI-668.01,102195674,154.191741,-42.559071,11.3425,30199.2684097,3.827504,2459283.065609,APC,2021-10-29 12:59:15,31838.620963265817,"depth 30199 ppm, duration 3.83 h, Tmag 11.34 → score 31839",23
TOI-3501.01,98957720,181.000805,-28.325347,10.7413,26220.0,2.87,2459313.471423,APC,2023-01-25 10:10:01,31572.839052451945,"depth 26220 ppm, duration 2.87 h, Tmag 10.74 → score 31573",24
