HR,Name,RAJ2000,DEJ2000,Vmag,B-V
926," ",46.15874999999999,1.8636111111111109,6.05,1.04
911," 92Alp Cet",45.56999999999999,4.089722222222222,2.53,1.64
910," 93    Cet",45.59374999999999,4.352777777777777,5.61,-0.1
958," ",48.10999999999999,6.660833333333333,5.56,1.08
877," ",44.26916666666666,4.50111111111111,6.11,1.69
816," ",41.337083333333325,4.711666666666666,6.03,0.31
908," ",45.46791666666666,5.33611111111111,6.25,1.05
870," ",44.0575,8.381666666666666,5.97,0.48
896," 91Lam Cet",44.928749999999994,8.907499999999999,4.7,-0.12
1030,"  1Omi Tau",51.203333333333326,9.028888888888888,3.6,0.89
1079,"  6    Tau",53.14999999999999,9.37361111111111,5.77,-0.08
1038,"  2Xi  Tau",51.79249999999999,9.732777777777777,3.74,-0.09
942," ",47.161249999999995,8.470833333333331,6.28,1.06
948," ",47.66208333333333,11.872499999999999,5.98,-0.06
1061,"  4    Tau",52.602083333333326,11.336388888888887,5.14,-0.03
1039," ",51.82791666666666,12.734999999999998,6.28,-0.02
1028," ",51.04208333333332,12.629444444444443,6.04,1.23
754," 78Nu  Cet",38.96874999999999,5.593333333333333,4.86,0.87
783," ",40.065416666666664,6.111944444444443,6.25,0.4
753," ",39.02041666666666,6.886944444444444,5.82,0.98
751," ",38.767083333333325,7.471388888888888,6.18,1.06
770," ",39.50333333333333,7.695277777777776,6.39,0.44
766," ",39.146249999999995,7.729722222222221,5.81,1.04
813," 87Mu  Cet",41.23541666666666,10.114166666666666,4.27,0.31
718," 73Xi 2Cet",37.039583333333326,8.459999999999999,4.28,-0.06
725," ",37.39708333333333,9.565833333333332,6.07,1.02
702," 24Xi  Ari",36.20416666666666,10.610555555555553,5.47,-0.1
797," ",40.620416666666664,10.741666666666665,6.3,0.06
812," 38    Ari",41.239999999999995,12.445833333333331,5.18,0.24
763," 31    Ari",39.15791666666666,12.447499999999998,5.68,0.49
902," ",45.183749999999996,10.870277777777776,5.95,1.59
952," ",47.841249999999995,13.047777777777776,6.12,1.02
931," ",46.598749999999995,13.18722222222222,5.62,1.08
809," 37Omi Ari",41.13708333333333,15.311666666666664,5.77,-0.01
847," 43Sig Ari",42.87333333333333,15.081944444444442,5.49,-0.09
924," ",46.16958333333333,15.856111111111108,6.49,
856," ",43.29874999999999,16.48333333333333,6.31,
869," 46Rho3Ari",44.10874999999999,18.023055555555555,5.63,0.43
867," 45Rho2Ari",43.95208333333333,18.331666666666663,5.91,1.47
1174," 30    Tau",57.06791666666666,11.143333333333333,5.07,-0.13
1194," ",57.81583333333332,13.04583333333333,6.3,-0.07
1066,"  5    Tau",52.71833333333333,12.936666666666666,4.11,1.12
1102," ",54.449166666666656,15.43083333333333,6.39,0.17
1201," ",58.29166666666666,17.326944444444443,5.97,0.34
1110," ",54.85708333333333,16.536666666666665,6.16,1.0
1279," ",61.92499999999999,15.162777777777777,6.01,0.4
1295," ",63.13083333333333,17.277499999999996,6.09,1.08
1237," ",60.15374999999999,17.296666666666663,6.32,0.06
1280," ",61.99749999999999,17.33972222222222,5.89,1.5
1354," ",65.10458333333332,18.742499999999996,6.12,0.37
1385," ",66.23791666666666,19.041666666666664,5.98,0.37
1409," 74Eps Tau",67.15416666666665,19.180277777777775,3.53,1.01
1283," 43Ome1Tau",62.29166666666666,19.609166666666663,5.5,1.07
1370," ",65.59499999999998,20.821388888888887,5.91,1.66
1329," 50Ome2Tau",64.315,20.57861111111111,4.94,0.26
1339," 53    Tau",64.85874999999999,21.14222222222222,5.35,-0.08
1331," 51    Tau",64.59666666666666,21.579166666666662,5.65,0.28
1341," 56    Tau",64.90291666666666,21.77361111111111,5.38,-0.14
1238," ",60.203333333333326,18.193888888888885,5.89,0.32
1297," ",63.213333333333324,22.41361111111111,6.12,0.19
1262," 39    Tau",61.33416666666666,22.008888888888887,5.9,0.62
1256," 37    Tau",61.17374999999999,22.081944444444442,4.36,1.07
1085," ",53.53458333333332,17.832777777777775,6.17,0.89
1132," 14    Tau",55.94666666666666,19.664999999999996,6.14,1.01
1126," 13    Tau",55.57874999999999,19.700277777777774,5.69,-0.01
938," 53    Ari",46.85708333333333,17.88,6.11,-0.12
940," 54    Ari",47.088333333333324,18.794999999999998,6.27,1.58
951," 57Del Ari",47.90749999999999,19.726666666666663,4.35,1.03
972," 58Zet Ari",48.72541666666666,21.04444444444444,4.89,-0.01
1027," 65    Ari",51.10874999999999,20.80361111111111,6.08,-0.04
1015," 63Tau2Ari",50.688333333333325,20.741944444444442,5.09,1.24
1005," 61Tau1Ari",50.30666666666666,21.14694444444444,5.28,-0.07
1048," 66    Ari",52.110833333333325,22.804166666666664,6.03,0.95
1137," ",56.117083333333326,20.92861111111111,6.1,0.01
1185," ",57.47916666666666,22.24444444444444,6.07,-0.01
1103," ",54.75041666666666,20.91583333333333,6.5,0.15
1172," ",57.087083333333325,23.42111111111111,5.45,-0.07
1156," 23    Tau",56.581666666666656,23.94833333333333,4.18,-0.06
1142," 17    Tau",56.21874999999999,24.11333333333333,3.7,-0.11
1149," 20    Tau",56.456666666666656,24.367777777777775,3.87,-0.07
1140," 16    Tau",56.20083333333333,24.28944444444444,5.46,-0.04
1145," 19    Tau",56.30208333333333,24.46722222222222,4.3,-0.11
1218," 32    Tau",59.21708333333333,22.478055555555553,5.63,0.3
1221," 33    Tau",59.265833333333326,23.17555555555555,6.06,0.02
1252," 36    Tau",61.090416666666655,24.10583333333333,5.47,0.86
1222," ",59.35999999999999,24.46194444444444,6.16,1.37
1183," ",57.43124999999999,23.711666666666662,6.17,-0.05
1178," 27    Tau",57.29041666666666,24.05333333333333,3.63,-0.09
1180," 28    Tau",57.29666666666666,24.136666666666663,5.09,-0.08
1165," 25Eta Tau",56.87124999999999,24.104999999999997,2.87,-0.09
1152," 22    Tau",56.51208333333332,24.528055555555554,6.43,-0.02
1151," 21    Tau",56.47666666666666,24.554722222222217,5.76,-0.04
1188," ",57.57874999999999,25.57944444444444,5.26,0.21
1086,"  7    Tau",53.610833333333325,24.464444444444442,5.92,0.13
1118," 11    Tau",55.19291666666666,25.32944444444444,6.11,0.06
1022," 64    Ari",51.07708333333333,24.72416666666666,5.5,1.19
1144," 18    Tau",56.29041666666666,24.839166666666664,5.64,-0.07
741," 29    Ari",38.22541666666666,15.03472222222222,6.04,0.54
601," ",30.64666666666666,13.476666666666665,5.94,1.59
648," 19    Ari",33.263749999999995,15.27972222222222,5.71,1.55
624," ",32.34625,17.22444444444444,6.43,
808," 36    Ari",41.079583333333325,17.763888888888886,6.46,1.07
731," 27    Ari",37.72666666666666,17.703888888888887,6.23,0.9
836," 42Pi  Ari",42.322916666666664,17.464166666666664,5.22,-0.06
828," 40    Ari",42.13374999999999,18.28361111111111,5.82,1.2
793," 34Mu  Ari",40.59166666666666,20.011666666666663,5.69,-0.02
729," 26    Ari",37.66,19.855277777777776,6.15,0.25
669," 22The Ari",34.53124999999999,19.90111111111111,5.62,0.01
773," 32Nu  Ari",39.70416666666666,21.961388888888887,5.43,0.16
563,"  8Iot Ari",29.33791666666666,17.8175,5.1,0.92
522,"  4    Ari",27.045416666666664,16.955555555555552,5.84,-0.03
609," ",30.927499999999995,18.25333333333333,6.21,1.42
