pl_name,spec_type,authors,num_datapoints,instrument,facility,minwavelng,maxwavelng,note,bibcode
"AU Mic b","Transmission","Waalkes et al. 2026",42,"Wide Field Camera 3","Hubble Space Telescope satellite",0.8032,1.6285,"from Table 8; G102 and G141 combined; spectrum impacted by spot contamination/TLS effect.","2026arXiv260631281W"
"GJ 1214 b","Eclipse","Kempton et al. 2023",14,"Mid-Infrared Instrument (MIRI) - LRS","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",5.2500,11.7500,,"2023Natur.620...67K"
"GJ 1214 b","Transmission","Bean et al. 2011",36,"MMIRS","Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO)",0.6200,0.9950,,"2011ApJ...743...92B"
"GJ 1214 b","Transmission","Berta et al. 2012",24,"WFC3","Hubble Space Telescope satellite",1.1230,1.6560,,"2012ApJ...747...35B"
"GJ 1214 b","Transmission","C&aacute;ceres et al. 2014",1,"OSIRIS","The Southern Astrophysical Research Telescope",2.1400,2.1400,,"2014A&A...565A...7C"
"GJ 1214 b","Transmission","C&aacute;ceres et al. 2014",1,"SOI","The Southern Astrophysical Research Telescope",0.8665,0.8665,,"2014A&A...565A...7C"
"GJ 1214 b","Transmission","Croll et al. 2011",8,"WIRCam","Canada-France-Hawaii Telescope",1.2500,2.1500,,"2011ApJ...736...78C"
"GJ 1214 b","Transmission","D&eacute;sert et al. 2011",2,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,4.5000,,"2011ApJ...731L..40D"
"GJ 1214 b","Transmission","Edwards et al. 2023",25,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1262,1.6295,"G141","2023ApJS..269...31E"
"GJ 1214 b","Transmission","Gillon et al. 2014",4,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,4.5000,,"2014A&A...563A..21G"
"GJ 1214 b","Transmission","Gillon et al. 2014",1,"TRAPPISTCam","European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory",0.8380,0.8380,,"2014A&A...563A..21G"
"GJ 1214 b","Transmission","Kempton et al. 2023",14,"Mid-Infrared Instrument (MIRI) - LRS","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",5.2817,11.7470,,"2023Natur.620...67K"
"GJ 1214 b","Transmission","Kreidberg et al. 2014",22,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1465,1.6305,,"2014Natur.505...69K"
"GJ 1214 b","Transmission","Murgas et al. 2012",3,"OSIRIS","Gran Telescopio CANARIAS 10.4m telescope",0.6535,0.6620,,"2012A&A...544A..41M"
"GJ 1214 b","Transmission","Narita et al. 2013",3,"SIRIUS","Infrared Survey Facility",1.2500,2.1400,,"2013PASJ...65...27N"
"GJ 1214 b","Transmission","Nascimbeni et al. 2015",2,"LBC","Large Binocular Telescope Observatory",0.5000,0.7750,,"2015A&A...579A.113N"
"GJ 1214 b","Transmission","Rackham et al. 2017",14,"IMACS spectrograph","Magellan I Walter Baade Telescope",0.5078,0.9162,,"2017ApJ...834..151R"
"GJ 1214 b","Transmission","Schlawin et al. 2024",59,"Near Infrared Spectrograph (NIRSpec)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",2.7738,5.1269,"Eureka! reduction, NRS1+NRS2 Averaged","2024ApJ...974L..33S"
"GJ 1214 b","Transmission","Schlawin et al. 2024",59,"Near Infrared Spectrograph (NIRSpec)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",2.7738,5.1269,"Eureka! reduction, NRS1+NRS2 Visit 1","2024ApJ...974L..33S"
"GJ 1214 b","Transmission","Schlawin et al. 2024",59,"Near Infrared Spectrograph (NIRSpec)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",2.7738,5.1269,"Eureka! reduction, NRS1+NRS2 Visit 2","2024ApJ...974L..33S"
"GJ 1214 b","Transmission","Wilson et al. 2014",8,"OSIRIS","Gran Telescopio CANARIAS 10.4m telescope",0.8100,0.8850,,"2014MNRAS.438.2395W"
"GJ 1214 b","Transmission","de Mooij et al. 2012",4,"GROND","Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory",0.4600,0.9000,,"2012A&A...538A..46D"
"GJ 1214 b","Transmission","de Mooij et al. 2012",1,"LIRIS","Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos",2.2700,2.2700,,"2012A&A...538A..46D"
"GJ 1214 b","Transmission","de Mooij et al. 2012",1,"NOTCam","Nordic Optical Telescope",2.1500,2.1500,,"2012A&A...538A..46D"
"GJ 1214 b","Transmission","de Mooij et al. 2012",2,"WFC","Isaac Newton Group's Isaac Newton Telescope",0.6300,0.8200,,"2012A&A...538A..46D"
"GJ 1214 b","Transmission","de Mooij et al. 2013",1,"WFC","Isaac Newton Group's Isaac Newton Telescope",0.4962,0.4962,,"2013ApJ...771..109D"
"GJ 1214 b","Transmission","de Mooij et al. 2013",1,"FORS","European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Antu (UT1) at Paranal Observatory",0.4543,0.4543,,"2013ApJ...771..109D"
"GJ 1214 b","Transmission","de Mooij et al. 2013",1,"ACAM","Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos",0.4996,0.4996,,"2013ApJ...771..109D"
"HD 209458 b","Eclipse","Changeat et al. 2022",6,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,24.0000,"Figure 2","2022ApJS..260....3C"
"HD 209458 b","Eclipse","Changeat et al. 2022",25,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1263,1.6295,"Figure 2","2022ApJS..260....3C"
"HD 209458 b","Eclipse","Crossfield et al. 2012",1,"Multiband Imaging Photometer (MIPS)","Spitzer Space Telescope satellite",24.0000,24.0000,"B. temperature from abstract/text, not Table 5","2012ApJ...752...81C"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 44201728, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 50489088, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 38703872, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 48014336, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 38703616, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50800384, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50799872, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50496512, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50496256, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50496000, date is start time.","2023AJ....165..104D"
"HD 209458 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 50495744, date is start time.","2023AJ....165..104D"
