plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,facility,instrument,note,plntreflink
"GJ 1214 b",5.2500,0.5000,0.013400,0.003000,-0.002800,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",5.7500,0.5000,0.018400,0.003000,-0.003100,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",6.2500,0.5000,0.022800,0.003000,-0.002900,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",6.7500,0.5000,0.024100,0.003300,-0.003300,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",7.2500,0.5000,0.032400,0.003900,-0.003900,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",7.7500,0.5000,0.042600,0.004600,-0.004100,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",8.2500,0.5000,0.047400,0.003900,-0.004000,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",8.7500,0.5000,0.063100,0.004500,-0.004700,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",9.2500,0.5000,0.060400,0.004900,-0.004900,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",9.7500,0.5000,0.075800,0.005700,-0.005700,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",10.2500,0.5000,0.088100,0.006900,-0.007000,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",10.7500,0.5000,0.096200,0.008300,-0.008300,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",11.2500,0.5000,0.117400,0.011000,-0.011400,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"GJ 1214 b",11.7500,0.5000,0.118000,0.014800,-0.015000,0,,,,,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI) - LRS",,"<a refstr=KEMPTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230506240K/abstract target=ref>Kempton et al. 2023</a>"
"HD 209458 b",1.1510,0.0530,0.004300,0.001600,-0.001600,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
