plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"GJ 1214 b",0.4543,,,,,,0.11620,"Very Large Telescope (Antu)","FORS","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.4600,,,,,,0.11980,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.4962,,,,,,0.11740,"Isaac Newton Group's Isaac Newton Telescope","WFC","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.4996,,,,,,0.11800,"Isaac Newton Group's William Herschel Telescope","ACAM","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.5000,,,,,,0.11760,"Large Binocular Telescope Observatory","LBC","<a refstr=NASCIMBENI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A.113N/abstract target=ref>Nascimbeni et al. 2015</a>"
"GJ 1214 b",0.5078,0.1157,,,,,0.11360,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.5926,0.0539,,,,,0.11320,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.6200,,,,,,0.11680,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.6200,0.0200,,,,,0.11730,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6300,,,,,,0.11430,"Isaac Newton Group's Isaac Newton Telescope","WFC","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.6351,0.0310,,,,,0.11470,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.6400,0.0200,,,,,0.11950,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6535,0.0012,,,,,0.11510,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6563,0.0012,,,,,0.12170,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6600,0.0200,,,,,0.11670,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6620,0.0012,,,,,0.11840,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6800,0.0200,,,,,0.11940,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
