product_id,service,state,bytes,sha256,md5,retrieved_utc,url,endpoint,query,license,note
tap_schema_gaiadr3_tables,gaia,drive_only,65842,050c5f0a3e2cd3b2e969855044fd30d512adc5e8c50a434b64ded2ba92ad3edb,8ec51c99e5897ec5f263d3d6320ccc3a,2026-09-24T01:14:48Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 200 table_name, description FROM tap_schema.tables WHERE schema_name='gaiadr3'",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_Pleiades_r0d5,gaia,drive_only,1978732,c2f46256fa46893ac4205b2e7483b30ea1e40383d8ac6095f923122fa3045786,f4b33e538f0c25f4e6bbed5c5a439c3e,2026-09-24T01:15:00Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 100000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 56.600833, 24.113889, 0.5))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_M44_r0d5,gaia,drive_only,1395768,952a6eaf009626d3f1aef2e5d6f85c0fcbe674bee2deb25a1f848dd1a42094ef,b93460bbfceb4bf1095b9bd629db5943,2026-09-24T01:15:10Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 100000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 130.054167, 19.621111, 0.5))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_NGC_5139_r0d5,gaia,drive_only,29576053,5f70ddcdb35088adbe24d5b57e8e22820824ce7c9da3b70e828415911406bc3d,79544a8351bd612ce42e82971f9bf68b,2026-09-24T01:16:15Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 100000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 201.697000, -47.479472, 0.5))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_Pleiades_r1d0,gaia,drive_only,8254154,bf9c84a5b53fa446bcc66fcea40cbab43a521f0b5582cbd9f6844e2c12f66910,d83b7c876c6216c33883cd895534f5df,2026-09-24T01:16:38Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 200000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 56.600833, 24.113889, 1.0))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_M44_r1d0,gaia,drive_only,5476208,d25780b75f90ac713dc983509b5ea2f7eb8af7868045338bc9682b3b73090039,bc65c18c98f193b11a9c68ad14081aa3,2026-09-24T01:16:51Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 200000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 130.054167, 19.621111, 1.0))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
gaia_source_cone_NGC_5139_r1d0,gaia,drive_only,58046990,b4675e20da02fe6aff2b9badc991c7c7bd98025181e378cb0af40ad51bcdc2ce,37c78e47b76521702445f29aebc3841f,2026-09-24T01:18:34Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),"SELECT TOP 200000 source_id, ra, ra_error, dec, dec_error, parallax, parallax_error, parallax_over_error, pm, pmra, pmra_error, pmdec, pmdec_error, radial_velocity, radial_velocity_error, phot_g_mean_mag, phot_g_mean_flux_over_error, phot_bp_mean_mag, phot_rp_mean_mag, bp_rp, ruwe, astrometric_params_solved, visibility_periods_used, astrometric_chi2_al, astrometric_n_good_obs_al, phot_g_n_obs, ecl_lon, ecl_lat, has_xp_continuous, has_rvs FROM gaiadr3.gaia_source WHERE 1 = CONTAINS(POINT('ICRS', ra, dec), CIRCLE('ICRS', 201.697000, -47.479472, 1.0))",ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:34Z.
nss_two_body_orbit_top100k,gaia,drive_only,68560723,69317c45fc77c88dfb47d2cbd60b1c5c8e82f04d00982d08c5a6afaa9f8bf58c,d74c00428bd329ac8d121692828eb409,2026-09-24T01:20:36Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),SELECT TOP 100000 * FROM gaiadr3.nss_two_body_orbit,ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:35Z.
nss_acceleration_astro_top100k,gaia,drive_only,64885382,efa06393e67bf0a5f59c718bfc2c586eb40ddb9d5aea54319f5483b8e37f935e,79ba8a8e1b86fb541dfa57fa43e114f0,2026-09-24T01:22:40Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),SELECT TOP 100000 * FROM gaiadr3.nss_acceleration_astro,ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:35Z.
vari_rrlyrae_top50k,gaia,drive_only,69586876,ba5a6af86fa619106b0228a575b97cdfe7a193f127acafe706b7ecac468bcdb4,eeba32ceae9947ee18b3fbb581e90430,2026-09-24T01:24:38Z,Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),Gaia DR3 TAP+ via astroquery.gaia (server https://gea.esac.esa.int/tap-server/tap),SELECT TOP 50000 * FROM gaiadr3.vari_rrlyrae,ESA Gaia DR3 archive data; archive terms apply (license recorded after live verification),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:10:35Z.
