product_id,service,state,bytes,sha256,md5,retrieved_utc,url,endpoint,query,license,note
skyview_survey_list,skyview,drive_only,3268,169eabac6bf40bd346891088506dd579f39dba769acadbfc245b0b9e96abc8a8,b3eb5d4956347f80be15375d95da299b,2026-09-23T19:53:56Z,astroquery.skyview SkyView.survey_dict,astroquery.skyview SkyView.survey_dict,surveys available at SkyView on the retrieval date; selection below records exact chosen names,,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
skyview_Pleiades_DSS2_Blue_0,skyview,drive_only,7853760,497eff31e5862cc60ce04660796d3db904c639635a1470904184c73eb20bce38,647874831324fd6e34e06b940bf942b4,2026-09-23T19:54:01Z,"astroquery.skyview SkyView.get_images (position=56.600833 24.113889, survey='DSS2 Blue', pixels=1400x1400, size=0.5deg)",astroquery.skyview SkyView.get_images,"{""field"": ""Pleiades"", ""pixels"": [1400, 1400], ""position_degrees"": ""56.600833 24.113889"", ""survey_list_used"": true, ""survey_requested"": ""DSS2 Blue""}",survey data redistributed via NASA SkyView; per-survey terms apply,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
skyview_Pleiades_2MASS_K_0,skyview,drive_only,7856640,bc7b8808d384f3c64f9ef1708b67a1ed6242567c8f0b2c9afa9a3fdfd6c563cc,e1546db9083618ca0db82dbd7f4cd643,2026-09-23T19:54:04Z,"astroquery.skyview SkyView.get_images (position=56.600833 24.113889, survey='2MASS-K', pixels=1400x1400, size=0.5deg)",astroquery.skyview SkyView.get_images,"{""field"": ""Pleiades"", ""pixels"": [1400, 1400], ""position_degrees"": ""56.600833 24.113889"", ""survey_list_used"": true, ""survey_requested"": ""2MASS-K""}",survey data redistributed via NASA SkyView; per-survey terms apply,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
skyview_Pleiades_WISE_12,skyview,failed,,,,2026-09-23T19:54:08Z,astroquery.skyview get_images,astroquery.skyview SkyView.get_images,"{""field"": ""Pleiades"", ""position"": ""56.600833 24.113889"", ""survey"": ""WISE 12""}",,error: HTTPError: HTTP Error 404: Not Found
skyview_Pleiades_GALEX_NUV,skyview,failed,,,,2026-09-23T19:54:10Z,astroquery.skyview get_images,astroquery.skyview SkyView.get_images,"{""field"": ""Pleiades"", ""position"": ""56.600833 24.113889"", ""survey"": ""GALEX Near UV""}",,error: HTTPError: HTTP Error 404: Not Found
skyview_Pleiades_SDSS_g,skyview,failed,,,,2026-09-23T19:54:12Z,astroquery.skyview get_images,astroquery.skyview SkyView.get_images,"{""field"": ""Pleiades"", ""position"": ""56.600833 24.113889"", ""survey"": ""SDSSg""}",,error: HTTPError: HTTP Error 404: Not Found
skyview_M44_DSS2_Blue_0,skyview,drive_only,7853760,2a394738a064773138df92daa64981130e5b045ca7638e425aed98013f692636,bb98dce290571ab9d0be9f6a9e4edefc,2026-09-23T19:54:13Z,"astroquery.skyview SkyView.get_images (position=130.054167 19.621111, survey='DSS2 Blue', pixels=1400x1400, size=0.5deg)",astroquery.skyview SkyView.get_images,"{""field"": ""M44"", ""pixels"": [1400, 1400], ""position_degrees"": ""130.054167 19.621111"", ""survey_list_used"": true, ""survey_requested"": ""DSS2 Blue""}",survey data redistributed via NASA SkyView; per-survey terms apply,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
skyview_M44_2MASS_K_0,skyview,drive_only,7856640,866c7d8c27d881b7feafe4c9c42a0618ac2b5518223e89d5fa4851329d675c5e,8c1bdc15b58ce8f7390c154b8acd1e63,2026-09-23T19:54:14Z,"astroquery.skyview SkyView.get_images (position=130.054167 19.621111, survey='2MASS-K', pixels=1400x1400, size=0.5deg)",astroquery.skyview SkyView.get_images,"{""field"": ""M44"", ""pixels"": [1400, 1400], ""position_degrees"": ""130.054167 19.621111"", ""survey_list_used"": true, ""survey_requested"": ""2MASS-K""}",survey data redistributed via NASA SkyView; per-survey terms apply,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
skyview_M44_WISE_12,skyview,failed,,,,2026-09-23T19:54:16Z,astroquery.skyview get_images,astroquery.skyview SkyView.get_images,"{""field"": ""M44"", ""position"": ""130.054167 19.621111"", ""survey"": ""WISE 12""}",,error: HTTPError: HTTP Error 404: Not Found
skyview_M44_GALEX_NUV_0,skyview,drive_only,7853760,3ea137c1838bb9173e4ca27e9b641c47e614dc39bdc34451f6c161af5412d978,ed1db8427b2f1313dccf0329bca898d3,2026-09-23T19:54:17Z,"astroquery.skyview SkyView.get_images (position=130.054167 19.621111, survey='GALEX Near UV', pixels=1400x1400, size=0.5deg)",astroquery.skyview SkyView.get_images,"{""field"": ""M44"", ""pixels"": [1400, 1400], ""position_degrees"": ""130.054167 19.621111"", ""survey_list_used"": true, ""survey_requested"": ""GALEX Near UV""}",survey data redistributed via NASA SkyView; per-survey terms apply,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-23T21:00:35Z.
