product_id,service,state,bytes,sha256,md5,retrieved_utc,url,endpoint,query,license,note
tap_schema_probe,cds,drive_only,18345,9a018397b43189b50b7bc88f222115e1449ccb21b165f04ec8870438f60b0793,8d1836e3a680947c89e1e42a77e7dcd9,2026-09-24T00:29:23Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 120 table_name, description FROM tap_schema.tables WHERE (description LIKE '%vsx%' OR description LIKE '%eclipsing binary%' OR description LIKE '%variable star%' OR description LIKE '%period%' OR description LIKE '%ztf%' OR description LIKE '%tic%')",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_357_tboes,cds,drive_only,135123,b9d64e435509553c515fb519ea8c6108d2e33e4366da7a23d868414538e7fb40,7da40ca47625075fd9fd847138d6cdae,2026-09-24T00:29:24Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/357/tboes""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_B_gcvs_evs_cat,cds,drive_only,1748612,357031f1a6178855a88a5910468bccfced247e7aae05e2ff1569df5a7adb6d6c,761080cc643049a0b16f65e4ee7e2c32,2026-09-24T00:29:26Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""B/gcvs/evs_cat""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_B_gcvs_evs_rem,cds,drive_only,95491,afd8e518ac74c9da9766d9ac156d09087b4bafd0ce9ef6c69c16c2d12a584f31,4153537090ab19fa1fc17360b7b5ea3b,2026-09-24T00:29:26Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""B/gcvs/evs_rem""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_147_table3,cds,drive_only,132075,8942df2fa1857e2e5c6db73b274568762e7be4b503f7633a11f64117cb57636a,f43eb360667c414b3dd76c591cafa1c8,2026-09-24T00:29:27Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/147/table3""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_170A_table3,cds,drive_only,78611,bc7c28d2082e673385591ab08d7758c3c87b30e5a82b8b6e3ed20b2b6914c651,813280feb9478d159ab61fe0fbe7b477,2026-09-24T00:29:27Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/170A/table3""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_189_table3,cds,drive_only,45868,3b5ecb06b5ac574c35bd93774f9921c0ca48be1e46e1c7e87a76909bb6715ca1,dae57cb4b51b7e9bb62b77f81e129067,2026-09-24T00:29:27Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/189/table3""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_205_table3,cds,drive_only,77138,21a52bf0b2ea0db96cfd90534d3bee91630499716c310bbedc20186130c34968,76a756629ae1bcb6673b58570183b408,2026-09-24T00:29:27Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/205/table3""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_I_213_table3,cds,drive_only,194730,dc3e948fe404bfd06593ffbec0edf7043a95a57d89fce6facc6a89c8aba98b48,13076ffd6cca1d19baeae917e0ec742b,2026-09-24T00:29:28Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""I/213/table3""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
vizier_extract_B_vsx_vsx,cds,drive_only,1912535,7669fcd4450467aa6d68686161736d7df6922ffd0563c3684262439e73393953,ca1766f27d915b96488b187b666fc40e,2026-09-24T00:29:32Z,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,https://tapvizier.cds.unistra.fr/TAPVizieR/tap,"SELECT TOP 20000 * FROM ""B/vsx/vsx""",(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
simbad_benchmark_objects,cds,drive_only,2770,39eec41464d82b9b56879ce1b76e8d2fc0b65fa7679f1194d9fa263be0aaca2a,8f103bb9ed53b093e6696b6bb5a94a8b,2026-09-24T00:29:47Z,SIMBAD TAP via astroquery.simbad (https://simbad.cds.unistra.fr/simbad/sim-tap),SIMBAD TAP via astroquery.simbad (https://simbad.cds.unistra.fr/simbad/sim-tap),Simbad.query_object(name) for each of BENCH_OBJECT_NAMES; see NAME_RESOLUTIONS.json,(CDS distribution; catalog-specific terms apply),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T00:43:48Z.
