product_id,service,state,bytes,sha256,md5,retrieved_utc,url,endpoint,query,license,note
tap_schema_probe,irsa,drive_only,2477,ac5578ccb646a35b1eebf111d790ee6dec7764ba3f3859e9213d31bee084ef5c,3148cccb416bafd0d141cc6aab86ce68,2026-09-24T01:46:39Z,https://irsa.ipac.caltech.edu/TAP,https://irsa.ipac.caltech.edu/TAP,"SELECT TOP 120 table_name, description FROM tap_schema.tables WHERE table_name LIKE '%allwise%' OR table_name LIKE '%twomass%' OR table_name LIKE 'ztf%'",,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
allwise_Pleiades_r0d5,irsa,drive_only,495790,688abee6cbbfceccb45b7b441f8cc4ae6936725075708914d42ea102fe8a45bd,0601134092287269669ecd6ecbd5af6b,2026-09-24T01:46:54Z,https://irsa.ipac.caltech.edu/TAP,https://irsa.ipac.caltech.edu/TAP,"SELECT TOP 200000 designation, ra, dec, w1mpro, w2mpro, cc_flags FROM allwise_p3as_psd WHERE CONTAINS(POINT('J2000', ra, dec), CIRCLE('J2000', 56.600833, 24.113889, 0.5)) = 1",public (IPAC/IRSA services; cite IRSA),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
allwise_M44_r0d5,irsa,drive_only,600707,409b3db8aec5a0d9978f29b1ee954ba67c4435bdffe633c5637310984df7db5d,ee14297aee02b33590c9b475fb99a9d6,2026-09-24T01:47:12Z,https://irsa.ipac.caltech.edu/TAP,https://irsa.ipac.caltech.edu/TAP,"SELECT TOP 200000 designation, ra, dec, w1mpro, w2mpro, cc_flags FROM allwise_p3as_psd WHERE CONTAINS(POINT('J2000', ra, dec), CIRCLE('J2000', 130.054167, 19.621111, 0.5)) = 1",public (IPAC/IRSA services; cite IRSA),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
allwise_NGC_5139_r0d5,irsa,drive_only,1226565,e7f18b08f5e2a2f8de1e8c7cb6815474a23124ed05b544d020b81bda5a9997f5,3e5d745fb074fd991f072fdccd989ec0,2026-09-24T01:47:35Z,https://irsa.ipac.caltech.edu/TAP,https://irsa.ipac.caltech.edu/TAP,"SELECT TOP 200000 designation, ra, dec, w1mpro, w2mpro, cc_flags FROM allwise_p3as_psd WHERE CONTAINS(POINT('J2000', ra, dec), CIRCLE('J2000', 201.697000, -47.479472, 0.5)) = 1",public (IPAC/IRSA services; cite IRSA),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
twomass_psc_cone,irsa,excluded,,,,2026-09-24T01:47:35Z,https://irsa.ipac.caltech.edu/TAP,https://irsa.ipac.caltech.edu/TAP,2MASS point-source cone (dropped: table not in IRSA TAP),,tap_schema probe lists twomass image tables only; no point-source table served via TAP
ztf_lc_Pleiades_16as,irsa,drive_only,,c3b81c59ce369ef2ee100d0ad7d6fd639920fc9aa6240f81f9f871ece069470c,,2026-09-23T20:57:40Z,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves,IRSA ZTF CGIS https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves (POS=CIRCLE 56.600833 24.113889 0.0046; FORMAT=csv),IRSA ZTF light-curve CGI: all matched light curves within 0.0046 deg (16.6 arcsec) of the Sesame-resolved anchor,public (IPAC/IRSA services; cite IRSA),uploaded+verified previously; local copy removed (Drive hosts it)
ztf_lc_Pleiades_72as,irsa,drive_only,837033,f942a567db8e5bd0aeab0dccbaabe737f6eb5a5368a2256ef4c26cb500b91e2d,d0966c6d8db66d4cff9a6bfe2d9b48a0,2026-09-24T01:47:58Z,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves,IRSA ZTF CGIS https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves (POS=CIRCLE 56.600833 24.113889 0.02; FORMAT=csv),IRSA ZTF light-curve CGI: all matched light curves within 0.02 deg (72 arcsec) of the Sesame-resolved anchor,public (IPAC/IRSA services; cite IRSA),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
ztf_lc_M44_16as,irsa,drive_only,,3511bdc5a2d77f8b4b098095b3290d4fae9155d2ae16ac107d25c628da0478fd,,2026-09-23T20:58:20Z,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves,IRSA ZTF CGIS https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves (POS=CIRCLE 130.054167 19.621111 0.0046; FORMAT=csv),IRSA ZTF light-curve CGI: all matched light curves within 0.0046 deg (16.6 arcsec) of the Sesame-resolved anchor,public (IPAC/IRSA services; cite IRSA),uploaded+verified previously; local copy removed (Drive hosts it)
ztf_lc_M44_72as,irsa,drive_only,4112439,4327158c3392ac4d94dc39b88357e5c4c935c76baca1b2269010e752c29b1f1e,a04bff98252426884b6230ace58cface,2026-09-24T01:48:51Z,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves,IRSA ZTF CGIS https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves (POS=CIRCLE 130.054167 19.621111 0.02; FORMAT=csv),IRSA ZTF light-curve CGI: all matched light curves within 0.02 deg (72 arcsec) of the Sesame-resolved anchor,public (IPAC/IRSA services; cite IRSA),Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T01:59:31Z.
ztf_lc_NGC_5139_16as,irsa,drive_only,,d35b7925f47f608072ad81c389b36e208216ae1a595ed8ba811c945cf77d7a34,,2026-09-23T20:58:36Z,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves,IRSA ZTF CGIS https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves (POS=CIRCLE 201.697000 -47.479472 0.0046; FORMAT=csv),IRSA ZTF light-curve CGI: all matched light curves within 0.0046 deg (16.6 arcsec) of the Sesame-resolved anchor,public (IPAC/IRSA services; cite IRSA),uploaded+verified previously; local copy removed (Drive hosts it)
