product_id,service,state,bytes,sha256,md5,retrieved_utc,url,endpoint,query,license,note
bricks_listing_M44_dr9,legacysurvey,drive_only,3635,b11ed0b73a291366c20016338928394500b08f6688bb54ca9b8bdeba74cfc46d,8e8f0c1621e83971d8b0672644675074,2026-09-24T01:25:44Z,https://www.legacysurvey.org/viewer/bricks/,https://www.legacysurvey.org/viewer/bricks/?ralo=129.554167&rahi=130.554167&declo=19.121111&dechi=20.121111&layer=ls-dr9,brick polygons in a 1.0x1.0 deg box around Sesame-resolved M44 (ls-dr9 layer),,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
tractor_dr9_north_1294p190,legacysurvey,failed,,,,2026-09-24T01:27:21Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/north/tractor/129/tractor-1294p190.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9 (north) tractor catalog (documented dr9 layout),tractor-1294p190.fits for a brick overlapping the M44 box,,fetch error: HTTPError: 404 Client Error: Not Found for url: https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/north/tractor/129/tractor-1294p190.fits
tractor_dr9_south_1294p190,legacysurvey,drive_only,12283200,ebb12bac5d6517cc6d4d5ccf0023f01e2fff18aafa4d741a48b7f0b72dfef8e1,029ee097f0ba949c052f8fbc5b215baa,2026-09-24T01:27:25Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/south/tractor/129/tractor-1294p190.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9 (south) tractor catalog (documented dr9 layout),tractor-1294p190.fits for a brick overlapping the M44 box,,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
tractor_dr9_north_1294p197,legacysurvey,failed,,,,2026-09-24T01:29:05Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/north/tractor/129/tractor-1294p197.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9 (north) tractor catalog (documented dr9 layout),tractor-1294p197.fits for a brick overlapping the M44 box,,fetch error: HTTPError: 404 Client Error: Not Found for url: https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/north/tractor/129/tractor-1294p197.fits
tractor_dr9_south_1294p197,legacysurvey,drive_only,12672000,aa8e5134404cd03d16354ff118e8fce8ecfa3646c91c96c547190899c95a78e4,20507a6a36e13490139b86f66c352713,2026-09-24T01:29:30Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9/south/tractor/129/tractor-1294p197.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr9 (south) tractor catalog (documented dr9 layout),tractor-1294p197.fits for a brick overlapping the M44 box,,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
bricks_listing_Pleiades_dr9,legacysurvey,drive_only,13,e2befedb67bc8b619c9e0fdef97f10aede754a9ae254da37f1d466548203b669,b592ec6f025a05809e3dcaba5b4bacbb,2026-09-24T01:29:32Z,https://www.legacysurvey.org/viewer/bricks/,https://www.legacysurvey.org/viewer/bricks/?ralo=56.100833&rahi=57.100833&declo=23.613889&dechi=24.613889&layer=ls-dr9,brick polygons in a 1.0x1.0 deg box around Sesame-resolved Pleiades (ls-dr9 layer),,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
bricks_listing_NGC_5139_dr10,legacysurvey,drive_only,2815,fca6c50106f26d00bbd3ec08329b438dcec520f7ec167b73046b7f622cec2f78,ff2c7aad5bdf2a291337da3e962d530e,2026-09-24T01:29:34Z,https://www.legacysurvey.org/viewer/bricks/,https://www.legacysurvey.org/viewer/bricks/?ralo=201.197000&rahi=202.197000&declo=-47.979472&dechi=-46.979472&layer=ls-dr10,brick polygons in a 1.0x1.0 deg box around Sesame-resolved NGC 5139 (ls-dr10 layer),,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
tractor_dr10_north_2010m480,legacysurvey,failed,,,,2026-09-24T01:31:13Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10/north/tractor/201/tractor-2010m480.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10 (north) tractor catalog (documented dr10 layout),tractor-2010m480.fits for a brick overlapping the NGC 5139 box,,fetch error: HTTPError: 404 Client Error: Not Found for url: https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10/north/tractor/201/tractor-2010m480.fits
tractor_dr10_south_2010m480,legacysurvey,drive_only,16104960,39a371f4c3c1b76e791fcec16745fbe157606aa39fb01d11854314120e930774,a3f40fd740b3d7b94afc27ed9bdb2ed4,2026-09-24T01:35:53Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10/south/tractor/201/tractor-2010m480.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10 (south) tractor catalog (documented dr10 layout),tractor-2010m480.fits for a brick overlapping the NGC 5139 box,,Upload verified by MD5 against the manifest; local staging copy removed 2026-09-24T02:08:54Z.
tractor_dr10_north_2011m472,legacysurvey,failed,,,,2026-09-24T01:37:31Z,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10/north/tractor/201/tractor-2011m472.fits,https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10 (north) tractor catalog (documented dr10 layout),tractor-2011m472.fits for a brick overlapping the NGC 5139 box,,fetch error: HTTPError: 404 Client Error: Not Found for url: https://portal.nersc.gov/cfs/cosmo/data/legacysurvey/dr10/north/tractor/201/tractor-2011m472.fits
