spec,name,tic,ra_deg,dec_deg,epoch_label,position_source,tmag,query_utc,n_gaia,gaia_source_id,gaia_ra,gaia_dec,pmra,pmdec,parallax,g_mag,match_is_brightest,pm_total_masyr,shift_16yr_mas,res2015_ra_mas,res2015_dec_mas,res2015_mas,res2000_ra_mas,res2000_dec_mas,res2000_mas,epoch_class,reason,query_error
campaigns/toi-125-04.yaml,TOI-125.04,52368076,23.593425,-66.676349,J2000.0,NASA Exoplanet Archive TOI table,10.1985,2026-09-25T21:18:52Z,1,4698692748651744128,23.593383482097043,-66.67636655288563,-119.55021506524318,-123.03028758755181,9.062315614411387,10.717915,True,171.548,2744.768,-0.598,1.675,1.779,-1853.627,-1905.294,2658.210,J2015.5,,
campaigns/toi-1301-02.yaml,TOI-1301.02,356867115,275.862543,71.581748,J2000.0,NASA Exoplanet Archive TOI table,10.5216,2026-09-25T21:19:37Z,1,2266490873877571712,275.86252441394157,71.58175981889626,-43.14558259462142,85.82935578705454,10.967317984068133,11.136648,True,96.064,1537.018,-0.433,0.367,0.567,-669.189,1330.722,1489.508,J2015.5,,
campaigns/toi-1772-02.yaml,TOI-1772.02,85293053,156.837704,34.39095,J2000.0,NASA Exoplanet Archive TOI table,9.3523,2026-09-25T21:19:50Z,1,749676822006222464,156.83769741563518,34.39094714102108,-39.38548468899362,-18.934849070584868,10.271862534903144,9.804727,True,43.701,699.210,-0.132,0.825,0.835,-610.607,-292.665,677.122,J2015.5,,
campaigns/toi-1812-01.yaml,TOI-1812.01,207425167,242.747885,58.294553,J2000.0,NASA Exoplanet Archive TOI table,11.6463,2026-09-25T21:20:01Z,1,1623130061703102592,242.74789017367885,58.294553234735545,20.63226405445664,0.16302424037294094,5.75999775076335,12.2048235,True,20.633,330.127,0.528,-0.764,0.928,320.328,1.763,320.333,J2015.5,,
campaigns/toi-1835-02.yaml,TOI-1835.02,347332255,189.839224,20.027338,J2000.0,NASA Exoplanet Archive TOI table,7.6621,2026-09-25T21:20:10Z,1,3948424496764080640,189.83921219676338,20.02732318550514,-81.70285411189406,-104.53236113729693,31.03687554605237,8.184688,True,132.674,2122.783,-0.929,1.066,1.414,-1267.324,-1619.186,2056.179,J2015.5,,
campaigns/toi-1893-01.yaml,TOI-1893.01,264544388,326.438392,79.613939,J2000.0,NASA Exoplanet Archive TOI table,8.43389,2026-09-25T21:20:22Z,2,2285334677815121152,326.4384101199256,79.61394191968898,23.456003349483417,18.27583351868652,7.402697018068215,8.697689,True,29.735,475.765,-0.032,-1.373,1.373,363.536,281.902,460.030,J2015.5,,
campaigns/toi-1896-01.yaml,TOI-1896.01,174302697,352.17861,47.349521,J2000.0,NASA Exoplanet Archive TOI table,8.88374,2026-09-25T21:20:37Z,2,1938752502320406400,352.17862167425574,47.34952139440602,56.96442389105341,0.18567142137447434,5.886973407281995,9.19351,True,56.965,911.436,0.008,-1.327,1.327,882.956,1.551,882.958,J2015.5,,
campaigns/toi-2003-01.yaml,TOI-2003.01,58463434,201.527127,-27.41256,J2000.0,NASA Exoplanet Archive TOI table,9.6569,2026-09-25T21:20:47Z,1,6189286849812601216,201.52712505606362,-27.412561149558975,-12.126255839230334,-11.559647992092962,2.405935169512713,9.911768,True,16.753,268.052,0.149,-1.641,1.648,-187.808,-180.816,260.703,J2015.5,,
campaigns/toi-2007-01.yaml,TOI-2007.01,219466784,209.858415,74.151228,J2000.0,NASA Exoplanet Archive TOI table,10.199,2026-09-25T21:20:58Z,1,1711633081221292800,209.85844775874622,74.1512191490083,64.51495043386785,-63.22716498386231,8.693071637264756,10.724044,True,90.332,1445.310,0.050,0.250,0.255,1000.032,-979.771,1400.006,J2015.5,,
campaigns/toi-2065-01.yaml,TOI-2065.01,356710041,192.577265,26.159536,J2000.0,NASA Exoplanet Archive TOI table,9.0024,2026-09-25T21:21:08Z,1,3961485079994112896,192.5772670813289,26.159536225559695,12.576087851652723,2.8207276125168583,4.284999138833505,9.440672,True,12.889,206.217,-0.437,0.598,0.741,194.492,44.320,199.478,J2015.5,,
