spec,name,gaia_dr3,dr3_class,final_epoch,basis
campaigns/toi-125-04.yaml,TOI-125.04,4698692748651744128,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.8 mas, r(2000.0) 2658.2 mas"
campaigns/toi-1301-02.yaml,TOI-1301.02,2266490873877571712,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.6 mas, r(2000.0) 1489.5 mas"
campaigns/toi-1772-02.yaml,TOI-1772.02,749676822006222464,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.8 mas, r(2000.0) 677.1 mas"
campaigns/toi-1812-01.yaml,TOI-1812.01,1623130061703102592,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.9 mas, r(2000.0) 320.3 mas"
campaigns/toi-1835-02.yaml,TOI-1835.02,3948424496764080640,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.4 mas, r(2000.0) 2056.2 mas"
campaigns/toi-1893-01.yaml,TOI-1893.01,2285334677815121152,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.4 mas, r(2000.0) 460.0 mas"
campaigns/toi-1896-01.yaml,TOI-1896.01,1938752502320406400,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.3 mas, r(2000.0) 883.0 mas"
campaigns/toi-2003-01.yaml,TOI-2003.01,6189286849812601216,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.6 mas, r(2000.0) 260.7 mas"
campaigns/toi-2007-01.yaml,TOI-2007.01,1711633081221292800,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.3 mas, r(2000.0) 1400.0 mas"
campaigns/toi-2065-01.yaml,TOI-2065.01,3961485079994112896,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.7 mas, r(2000.0) 199.5 mas"
campaigns/toi-2085-01.yaml,TOI-2085.01,1070704702302592512,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.3 mas, r(2000.0) 810.2 mas"
campaigns/toi-2087-01.yaml,TOI-2087.01,1712288703684932992,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.7 mas, r(2000.0) 250.1 mas"
campaigns/toi-2098-01.yaml,TOI-2098.01,1648927593788025984,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 385.6 mas"
campaigns/toi-2102-02.yaml,TOI-2102.02,1635066737891844864,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.1 mas, r(2000.0) 586.9 mas"
campaigns/toi-225-01.yaml,TOI-225.01,2383924277704397056,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.5 mas, r(2000.0) 2215.4 mas"
campaigns/toi-2263-01.yaml,TOI-2263.01,1723038457072262144,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.0 mas, r(2000.0) 2624.5 mas"
campaigns/toi-2270-01.yaml,TOI-2270.01,1628115694100538624,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.7 mas, r(2000.0) 2147.8 mas"
campaigns/toi-2277-01.yaml,TOI-2277.01,2294551716287593344,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.2 mas, r(2000.0) 789.9 mas"
campaigns/toi-2298-01.yaml,TOI-2298.01,2267279837892767488,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.4 mas, r(2000.0) 1078.3 mas"
campaigns/toi-2300-03.yaml,TOI-2300.03,2250961264271388672,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.6 mas, r(2000.0) 275.1 mas"
campaigns/toi-2318-01.yaml,TOI-2318.01,1346780595884995968,inconsistent,J2015.5,"DR3 propagated: r(2015.5) 18.5 mas, r(2000.0) 938.6 mas; direct match to Gaia DR2 1346780595884995968 (ref_epoch 2015.5) at 1.43 mas"
campaigns/toi-2423-01.yaml,TOI-2423.01,4729324799004633472,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.8 mas, r(2000.0) 218.0 mas"
campaigns/toi-2433-01.yaml,TOI-2433.01,2234652178234899712,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.7 mas, r(2000.0) 2959.0 mas"
campaigns/toi-2435-01.yaml,TOI-2435.01,1610656720761692928,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.9 mas, r(2000.0) 546.4 mas"
