TIME_stored,BJD_like,QUALITY,SAP_FLUX,PDCSAP_FLUX,SAP_frac_resid_2d,PDCSAP_frac_resid_2d
1.842503954560511147e+03,2.458842503954560496e+06,4.000000000000000000e+01,nan,nan,nan,nan
1.842505343466516479e+03,2.458842505343466531e+06,3.200000000000000000e+01,nan,nan,nan,nan
1.842506732372055922e+03,2.458842506732372101e+06,3.200000000000000000e+01,nan,nan,nan,nan
1.842508121278061935e+03,2.458842508121278137e+06,3.200000000000000000e+01,nan,nan,nan,nan
1.842509510183601378e+03,2.458842509510183707e+06,0.000000000000000000e+00,5.150868652343750000e+03,6.139748535156250000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.842510899089606028e+03,2.458842510899089742e+06,0.000000000000000000e+00,5.197992187500000000e+03,6.183747070312500000e+03,9.148657893811362740e-03,7.166178696784486490e-03
1.842512287995145471e+03,2.458842512287995312e+06,0.000000000000000000e+00,5.170403320312500000e+03,6.152835449218750000e+03,3.792499729120768492e-03,2.131506524666981761e-03
1.842513676901151484e+03,2.458842513676901348e+06,0.000000000000000000e+00,5.184821289062500000e+03,6.170802246093750000e+03,6.591633180803579961e-03,5.057814788290704300e-03
1.842515065806690927e+03,2.458842515065806918e+06,0.000000000000000000e+00,5.159265625000000000e+03,6.143008789062500000e+03,1.630205160139119869e-03,5.310077257369982817e-04
1.842516454712696259e+03,2.458842516454712488e+06,0.000000000000000000e+00,5.178752441406250000e+03,6.159169921875000000e+03,5.413414890673262647e-03,3.163221849810771147e-03
1.842517843618235929e+03,2.458842517843618058e+06,0.000000000000000000e+00,5.201667480468750000e+03,6.185363281250000000e+03,9.862186662804139914e-03,7.429416014769874010e-03
1.842519232523775372e+03,2.458842519232523628e+06,0.000000000000000000e+00,5.192622558593750000e+03,6.170183593750000000e+03,8.106187338130066422e-03,4.957052950862461671e-03
1.842520621429781386e+03,2.458842520621429663e+06,0.000000000000000000e+00,5.164996093750000000e+03,6.139832519531250000e+03,2.742729888835615526e-03,1.367879718827680335e-05
1.842522010335320829e+03,2.458842522010335233e+06,0.000000000000000000e+00,5.199045410156250000e+03,6.179340332031250000e+03,9.353132658620255668e-03,6.448439483847989706e-03
1.842523399241325478e+03,2.458842523399241269e+06,0.000000000000000000e+00,5.188011718750000000e+03,6.171501953125000000e+03,7.211029617179010032e-03,5.171778255563586058e-03
1.842524788146865603e+03,2.458842524788146839e+06,0.000000000000000000e+00,5.175761230468750000e+03,6.150971191406250000e+03,4.832695183107249548e-03,1.827869038241392019e-03
1.842526177052405728e+03,2.458842526177052408e+06,1.280000000000000000e+02,5.158415039062500000e+03,nan,nan,nan
1.842527565958410378e+03,2.458842527565958444e+06,1.280000000000000000e+02,5.181748046875000000e+03,nan,nan,nan
1.842528954863949821e+03,2.458842528954864014e+06,1.280000000000000000e+02,5.130697753906250000e+03,nan,nan,nan
1.842530343769489491e+03,2.458842530343769584e+06,1.280000000000000000e+02,5.171637695312500000e+03,nan,nan,nan
1.842531732675494823e+03,2.458842531732675619e+06,0.000000000000000000e+00,5.169471191406250000e+03,6.153735839843750000e+03,3.611534348489930935e-03,2.278155954988703158e-03
1.842533121581034948e+03,2.458842533121581189e+06,0.000000000000000000e+00,5.179404296875000000e+03,6.175214355468750000e+03,5.539967422439673328e-03,5.776428808023981176e-03
1.842534510486574618e+03,2.458842534510486759e+06,0.000000000000000000e+00,5.192948730468750000e+03,6.179219238281250000e+03,8.169511001965279462e-03,6.428716566971859336e-03
1.842535899392113379e+03,2.458842535899392329e+06,0.000000000000000000e+00,5.187060546875000000e+03,6.178145507812500000e+03,7.026367196294458495e-03,6.253834735476360152e-03
1.842537288298119165e+03,2.458842537288297899e+06,0.000000000000000000e+00,5.192978515625000000e+03,6.182196289062500000e+03,8.175293552105777906e-03,6.913598116143226946e-03
1.842538677203659518e+03,2.458842538677203469e+06,0.000000000000000000e+00,5.196722656250000000e+03,6.180927246093750000e+03,8.902188543554734323e-03,6.706905128395890259e-03
1.842540066109198506e+03,2.458842540066109039e+06,0.000000000000000000e+00,5.186877929687500000e+03,6.163985351562500000e+03,6.990913528219122597e-03,3.947525907204374462e-03
1.842541455014737949e+03,2.458842541455014609e+06,0.000000000000000000e+00,5.179131347656250000e+03,6.157903808593750000e+03,5.486976512134589257e-03,2.957006029407072134e-03
1.842542843920278301e+03,2.458842542843920179e+06,0.000000000000000000e+00,5.188649414062500000e+03,6.170993164062500000e+03,7.334833067730972544e-03,5.088910193527196313e-03
1.842544232825817744e+03,2.458842544232825749e+06,0.000000000000000000e+00,5.170233398437500000e+03,6.156505371093750000e+03,3.759510754547834566e-03,2.729238150642521177e-03
1.842545621731822848e+03,2.458842545621731784e+06,0.000000000000000000e+00,5.188499023437500000e+03,6.180712890625000000e+03,7.305635929315990040e-03,6.671992384409186627e-03
1.842547010637362519e+03,2.458842547010637354e+06,0.000000000000000000e+00,5.190959960937500000e+03,6.180115722656250000e+03,7.783407285197885273e-03,6.574729774168730501e-03
1.842548399542902189e+03,2.458842548399542924e+06,0.000000000000000000e+00,5.193052734375000000e+03,6.177768554687500000e+03,8.189702529505460404e-03,6.192439203909883005e-03
1.842549788448442314e+03,2.458842549788448494e+06,0.000000000000000000e+00,5.191979003906250000e+03,6.177863281250000000e+03,7.981246336730807300e-03,6.207867614692164082e-03
1.842551177353981984e+03,2.458842551177354064e+06,0.000000000000000000e+00,5.180537597656250000e+03,6.170809570312500000e+03,5.759988715495545364e-03,5.059007706650131553e-03
1.842552566259520745e+03,2.458842552566259634e+06,0.000000000000000000e+00,5.203185058593750000e+03,6.191661621093750000e+03,1.015681233226461977e-02,8.455246276007022388e-03
1.842553955165060415e+03,2.458842553955165204e+06,0.000000000000000000e+00,5.192247558593750000e+03,6.175758789062500000e+03,8.033384083900418915e-03,5.865102406076516672e-03
1.842555344070600540e+03,2.458842555344070774e+06,0.000000000000000000e+00,5.193854492187500000e+03,6.185295898437500000e+03,8.345357403782838190e-03,7.418441165862876829e-03
1.842556732976140211e+03,2.458842556732976343e+06,0.000000000000000000e+00,5.185455566406250000e+03,6.170758789062500000e+03,6.714773060027878770e-03,5.050736806024636039e-03
1.842558121881679654e+03,2.458842558121881448e+06,1.280000000000000000e+02,5.175844238281250000e+03,nan,nan,nan
1.842559510787219097e+03,2.458842559510787018e+06,0.000000000000000000e+00,5.198861816406250000e+03,6.186715332031250000e+03,9.317489398737111017e-03,7.649628743924496987e-03
1.842560899692758767e+03,2.458842560899692588e+06,0.000000000000000000e+00,5.215728027343750000e+03,6.203968261718750000e+03,1.259192951279919370e-02,1.045966723144720056e-02
1.842562288598298892e+03,2.458842562288598157e+06,0.000000000000000000e+00,5.179954589843750000e+03,6.162477539062500000e+03,5.646802406185535972e-03,3.701943780938909967e-03
1.842563677503838562e+03,2.458842563677503727e+06,0.000000000000000000e+00,5.188374511718750000e+03,6.173384765625000000e+03,7.281462973810048922e-03,5.478437801833102583e-03
1.842565066409377323e+03,2.458842565066409297e+06,0.000000000000000000e+00,5.189015136718750000e+03,6.171390136718750000e+03,7.405835199785659739e-03,5.153566368609308057e-03
1.842566455314917675e+03,2.458842566455314867e+06,0.000000000000000000e+00,5.181560546875000000e+03,6.171482910156250000e+03,5.958586134259924449e-03,5.168676667829164018e-03
