# Mean dwarf sequence subset: E. Mamajek, 'A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence',
# version 2022.04.16, http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# (cite Pecaut & Mamajek 2013, ApJS 208, 9). Retrieved 2026-09-26, source file sha256
# 1de2edeec17bb3346e0e4e70b999de5ee29947df38474e64cddb7cfacc164b7f. Rows B9V-M9.5V where Teff, R_Rsun,
# Bp-Rp (Gaia DR2), M_G (Gaia DR2) and Msun are all tabulated; values copied unchanged.
spt,teff_k,bp_rp,abs_g,radius_rsun,mass_msun
B9V,10700,-0.120,0.515,2.49,2.75
B9.5V,10400,-0.087,0.615,2.45,2.68
A0V,9700,-0.037,1.00,2.193,2.18
A1V,9300,0.005,1.16,2.136,2.05
A2V,8800,0.068,1.345,2.117,1.98
A3V,8600,0.110,1.69,1.861,1.86
A4V,8250,0.166,1.92,1.794,1.93
A5V,8100,0.194,1.98,1.785,1.88
A6V,7910,0.222,2.09,1.775,1.83
A7V,7760,0.263,2.19,1.750,1.77
A8V,7590,0.320,2.27,1.747,1.81
A9V,7400,0.327,2.37,1.747,1.75
F0V,7220,0.377,2.51,1.728,1.61
F1V,7020,0.434,2.69,1.679,1.50
F2V,6820,0.490,2.89,1.622,1.46
F3V,6750,0.518,2.99,1.578,1.44
F4V,6670,0.546,3.10,1.533,1.38
F5V,6550,0.587,3.26,1.473,1.33
F6V,6350,0.640,3.56,1.359,1.25
F7V,6280,0.670,3.66,1.324,1.21
F8V,6180,0.694,3.90,1.221,1.18
F9V,6050,0.719,4.105,1.167,1.13
F9.5V,5990,0.767,4.195,1.142,1.08
G0V,5930,0.784,4.325,1.100,1.06
G1V,5860,0.803,4.462,1.060,1.03
G2V,5770,0.823,4.635,1.012,1.00
G3V,5720,0.832,4.703,1.002,0.99
G4V,5680,0.841,4.757,0.991,0.985
G5V,5660,0.850,4.801,0.977,0.98
G6V,5600,0.869,4.914,0.949,0.97
G7V,5550,0.880,5.006,0.927,0.95
G8V,5480,0.900,5.098,0.914,0.94
G9V,5380,0.950,5.34,0.853,0.90
K0V,5270,0.983,5.553,0.813,0.88
K1V,5170,1.01,5.65,0.797,0.86
K2V,5100,1.10,5.83,0.783,0.82
K3V,4830,1.21,6.20,0.755,0.78
K4V,4600,1.34,6.53,0.713,0.73
K5V,4440,1.43,6.83,0.701,0.70
K6V,4300,1.53,7.02,0.669,0.69
K7V,4100,1.70,7.57,0.630,0.64
K8V,3990,1.73,7.74,0.615,0.62
K9V,3930,1.79,8.03,0.608,0.59
M0V,3850,1.84,8.16,0.588,0.57
M0.5V,3770,1.97,8.44,0.544,0.54
M1V,3660,2.09,8.82,0.501,0.50
M1.5V,3620,2.13,8.98,0.482,0.47
M2V,3560,2.23,9.29,0.446,0.44
M2.5V,3470,2.39,9.67,0.421,0.40
M3V,3430,2.50,10.05,0.361,0.37
M3.5V,3270,2.78,10.87,0.300,0.27
M4V,3210,2.94,11.21,0.274,0.23
M4.5V,3110,3.16,12.04,0.217,0.184
M5V,3060,3.35,12.45,0.196,0.162
M5.5V,2930,3.71,13.35,0.156,0.123
M6V,2810,4.16,14.26,0.137,0.102
M6.5V,2740,4.50,14.40,0.126,0.093
M7V,2680,4.65,14.72,0.120,0.090
M7.5V,2630,4.72,15.20,0.116,0.088
M8V,2570,4.86,15.20,0.114,0.085
M8.5V,2420,5.10,15.90,0.104,0.080
M9V,2380,4.78,16.20,0.102,0.079
M9.5V,2350,4.86,16.40,0.101,0.078
